city_name,city_country_code,city_id,city_lat,city_lng,city_max_temp,city_humidity,city_cloud_cover,city_wind_speed,record_dt
Vila Velha,BR,6320062,-3.71,-38.6,78.8,78,40,9.17,1524276000
Taquari,BR,3446783,-29.79,-51.87,67.54,96,56,4.72,1524277038
Ritchie,ZA,961226,-29.03,24.6,48.2,81,0,2.89,1524272400
Moree,AU,2156927,-29.46,149.84,75.91,71,0,5.12,1524277038
Reconquista,AR,3429594,-29.14,-59.64,72.58,94,36,6.8,1524277038
Carnarvon,AU,2074865,-24.87,113.63,79.78,73,0,7.92,1524277039
Byron Bay,AU,2172880,-28.65,153.62,78.8,57,40,14.99,1524276000
Brisbane,AU,2174003,-27.47,153.02,75.2,64,75,11.41,1524276000
Warmbad,NA,3352263,-28.45,18.73,47.83,74,0,3.6,1524277039
Panambi,BR,3455281,-28.29,-53.5,66.55,89,8,4.34,1524276844
Santiago del Estero,AR,3835869,-27.8,-64.26,76.36,75,12,3.71,1524276974
Soledade,BR,3387258,-7.06,-36.37,71.95,82,8,8.41,1524277040
La Rioja,AR,3848950,-29.41,-66.86,71.95,67,12,5.06,1524276949
Alice Springs,AU,2077895,-23.7,133.88,87.8,14,0,9.17,1524276000
Kathu,ZA,991664,-27.7,23.05,44.05,66,0,2.89,1524277040
Pirapo,PY,3437514,-26.85,-55.53,72.22,90,32,1.48,1524277040
Puerto Ayora,EC,3652764,-0.74,-90.35,76.81,97,0,9.75,1524277041
Taltal,CL,3870243,-25.41,-70.49,57.37,96,8,2.33,1524277041
Heidelberg,ZA,997151,-26.5,28.36,51.8,100,32,4.9,1524272400
Gold Coast,AU,2165087,-28.0,153.41,78.8,57,40,14.99,1524276000
Nsoko,SZ,934900,-27.03,31.95,62.6,93,68,11.41,1524272400
Vryburg,ZA,942511,-26.96,24.73,45.22,70,0,2.89,1524277042
Rio do Sul,BR,3451152,-27.22,-49.64,61.42,95,12,2.04,1524277042
Palmas,BR,3474574,-10.18,-48.33,78.8,88,0,5.82,1524272400
Vao,NC,2137773,-22.67,167.48,75.82,100,48,16.35,1524277042
Manzini,SZ,934995,-26.5,31.37,62.6,93,92,11.41,1524272400
Tsabong,BW,932987,-26.02,22.4,54.22,50,0,2.82,1524277043
Siteki,SZ,934851,-26.45,31.95,62.6,93,68,11.41,1524272400
Yulara,AU,6355222,-25.24,130.99,87.8,18,32,3.36,1524276000
Moindou,NC,2140466,-21.69,165.68,84.2,58,75,13.87,1524276000
