city_name,city_country_code,city_id,city_lat,city_lng,city_max_temp,city_humidity,city_cloud_cover,city_wind_speed,record_dt
Lira,UG,230166,2.25,32.9,81.47,100,32,4.41,1524317143
Hilo,US,5855927,19.71,-155.08,69.8,83,90,4.7,1524315360
Sorong,ID,1626542,-0.86,131.25,81.56,100,36,3.62,1524317143
Isiro,CD,215771,2.77,27.62,91.28,44,8,3.36,1524317143
Lodwar,KE,189280,3.12,35.6,73.01,100,80,4.74,1524316962
Yumbe,UG,225835,3.47,31.25,88.04,57,20,3.36,1524317144
Akonolinga,CM,2235776,3.77,12.24,88.31,56,0,2.84,1524317144
Inirida,CO,3671450,3.87,-67.92,74.36,99,92,2.51,1524317144
Mandera,KE,187896,3.94,41.87,73.82,100,92,8.84,1524317144
Takoradi,GH,2294915,4.89,-1.75,81.56,90,64,9.33,1524317145
Puerto Baquerizo Moreno,EC,3652758,-0.9,-89.6,78.8,83,0,9.17,1524315600
Acapulco,MX,3533462,16.86,-99.88,75.2,78,5,2.24,1524314460
Timbiqui,CO,3667070,2.77,-77.67,74.63,100,80,4.29,1524317145
Abonnema,NG,2324433,4.71,6.79,82.55,90,76,8.77,1524317145
Kuantan,MY,1735227,3.82,103.33,82.4,83,75,5.53,1524312000
Mentakab,MY,1735022,3.49,102.35,78.77,86,44,1.79,1524317146
Boa Vista,BR,3664980,2.82,-60.67,77.0,94,75,4.7,1524315600
Sao Filipe,CV,3374210,14.9,-24.5,70.22,97,0,14.7,1524317147
Boda,CF,2388614,4.32,17.47,88.31,70,20,7.27,1524317147
Mahibadhoo,MV,1337605,3.78,72.97,83.27,100,76,11.07,1524317147
Manuk Mangkaw,PH,1701394,4.8,119.85,84.44,100,0,3.8,1524317147
Pundaguitan,PH,1698289,6.37,126.17,83.81,99,12,6.93,1524317147
Wageningen,SR,3382783,5.77,-56.69,75.71,100,92,9.66,1524317148
Bubaque,GW,2374583,11.28,-15.83,87.8,38,0,6.93,1524315600
Xuddur,SO,49747,4.12,43.89,78.05,100,56,5.14,1524317148
Bintulu,MY,1737486,3.17,113.03,80.6,83,75,2.24,1524315600
Sigli,ID,1213821,5.38,95.96,79.67,95,44,3.06,1524317148
Ugoofaaru,MV,1337619,5.67,73.0,85.07,100,64,11.07,1524317149
Puerto Escondido,MX,3520994,15.86,-97.07,77.0,73,5,11.18,1524314460
Kloulklubed,PW,7671223,7.04,134.26,82.4,83,40,5.82,1524315120
Bonthe,SL,2409914,7.53,-12.5,90.29,58,0,5.93,1524317149
Marang,MY,1734715,5.21,103.21,84.2,79,75,2.24,1524312000
Galle,LK,1246294,6.04,80.22,83.18,93,12,5.14,1524316966
Ciudad Bolivar,VE,3645532,8.12,-63.55,79.49,74,0,9.89,1524317150
La Palma,PA,3707058,8.4,-78.14,75.89,100,56,2.39,1524317150
Ouidah,BJ,2392308,6.37,2.09,86.0,79,40,11.41,1524315600
Marienburg,SR,3383570,5.88,-55.04,77.33,100,68,8.43,1524317150
Tuburan,PH,1681075,10.73,123.82,84.2,74,20,10.29,1524315600
Labuan,MY,1734240,5.33,115.2,78.8,100,75,3.36,1524315600
Kalmunai,LK,1242110,7.42,81.82,87.14,62,20,7.65,1524317151
Cayenne,GF,3382160,4.94,-52.33,75.2,100,36,4.7,1524315600
Bouar,CF,2387926,5.94,15.59,83.81,69,24,8.61,1524317151
